Apple iPad Air,IPad,473g,9720 mAh,128 GB,A12Z Bionic,11,Green,2020-11-06,739
iPad Pro 11 2020,IPad,473g,9720 mAh,1 TB,A12Z Bionic,12.9,Gold,2020-06-23,379
Apple iPad Air,IPad,473g,7600 mAh,256 GB,Apple A14 Bionic,10.9,Black,2020-06-26,379
Apple iPad Air,IPad,464g,9720 mAh,256 GB,A12Z Bionic,12.9,White,2020-03-10,379
iPad Pro 12.9.2020,IPad,464g,9720 mAh,512 GB,A12Z Bionic,10.5,Gold,2020-04-08,869
iPad Pro 11 2020,IPad,464g,7600 mAh,256 GB,Apple A12 Bionic,12.9,White,2020-07-23,379
iPad Pro 11 2020,IPad,643g,9720 mAh,128 GB,Apple A14 Bionic,12.9,Gold,2020-03-09,1069
iPad Air 2019,IPad,473g,7600 mAh,1 TB,Apple A12 Bionic,10.9,Black,2020-09-02,1069
iPad Pro 12.9.2020,IPad,643g,7600 mAh,128 GB,A12Z Bionic,11,Blue,2020-10-02,379
iPad Pro 11 2020,IPad,464g,9720 mAh,128 GB,A12Z Bionic,12.9,Black,2020-04-02,739
iPad Air 2019,IPad,643g,7600 mAh,512 GB,A12Z Bionic,10.5,Red,2020-06-27,589
iPad Pro 12.9.2020,IPad,464g,7600 mAh,256 GB,A12Z Bionic,11,White,2020-07-31,589
iPad Pro 12.9.2020,IPad,643g,7600 mAh,512 GB,Apple A14 Bionic,11,Black,2020-04-21,589
iPad Pro 12.9.2020,IPad,473g,7600 mAh,256 GB,A12Z Bionic,11,Red,2020-04-10,1069
iPad Air 2019,IPad,464g,7600 mAh,128 GB,A12Z Bionic,10.5,Red,2020-11-13,379
iPad Pro 11 2020,IPad,464g,9720 mAh,128 GB,A12Z Bionic,10.9,White,2020-05-12,1069
Apple iPad Air,IPad,464g,9720 mAh,512 GB,A12Z Bionic,10.9,Red,2020-07-14,869
Apple iPad Air,IPad,643g,7600 mAh,1 TB,A12Z Bionic,10.9,Blue,2020-04-23,589
iPad Air 2019,IPad,473g,9720 mAh,512 GB,Apple A14 Bionic,11,White,2020-03-05,1069
iPad Pro 12.9.2020,IPad,464g,7600 mAh,256 GB,Apple A12 Bionic,11,Blue,2020-10-15,739
Apple iPad Air,IPad,473g,9720 mAh,1 TB,Apple A14 Bionic,10.5,Red,2020-01-12,379
iPad Pro 11 2020,IPad,473g,7600 mAh,1 TB,A12Z Bionic,11,Red,2020-09-12,1069
iPad Pro 11 2020,IPad,643g,7600 mAh,256 GB,Apple A12 Bionic,10.5,Blue,2020-06-07,869
iPad Air 2019,IPad,643g,9720 mAh,256 GB,Apple A12 Bionic,11,Green,2020-10-16,1069
Apple iPad Air,IPad,473g,9720 mAh,1 TB,Apple A12 Bionic,10.5,Blue,2020-09-05,739
iPad Pro 11 2020,IPad,643g,7600 mAh,512 GB,A12Z Bionic,11,Black,2020-02-26,869
iPad Pro 12.9.2020,IPad,473g,9720 mAh,512 GB,Apple A14 Bionic,10.5,White,2020-09-27,869
iPad Pro 12.9.2020,IPad,473g,9720 mAh,512 GB,A12Z Bionic,10.5,Red,2020-09-08,379
iPad Air 2019,IPad,643g,7600 mAh,128 GB,Apple A12 Bionic,10.9,White,2020-11-10,1069
iPad Air 2019,IPad,464g,9720 mAh,128 GB,Apple A12 Bionic,10.5,Blue,2020-09-04,739
iPad Air 2019,IPad,643g,9720 mAh,128 GB,A12Z Bionic,10.5,Red,2020-10-11,869
iPad Pro 11 2020,IPad,473g,9720 mAh,128 GB,A12Z Bionic,12.9,Red,2020-09-22,869
iPad Air 2019,IPad,464g,7600 mAh,512 GB,A12Z Bionic,11,Red,2020-05-19,379
Apple iPad Air,IPad,464g,7600 mAh,128 GB,A12Z Bionic,10.5,Blue,2020-09-08,589
iPad Pro 12.9.2020,IPad,473g,9720 mAh,1 TB,A12Z Bionic,12.9,White,2020-08-30,739
iPad Pro 12.9.2020,IPad,473g,9720 mAh,128 GB,A12Z Bionic,10.5,Blue,2020-05-03,1069
iPad Pro 11 2020,IPad,464g,9720 mAh,128 GB,Apple A12 Bionic,12.9,Black,2020-02-10,1069
iPad Pro 11 2020,IPad,643g,7600 mAh,128 GB,A12Z Bionic,12.9,Blue,2020-06-22,379
iPad Pro 11 2020,IPad,473g,7600 mAh,512 GB,Apple A12 Bionic,10.9,Black,2020-06-12,379
